,Ticker,FiscalYear,CashFlow,BookValue,Earnings,5YrReturn%
1447,MAR,2018-12-31,2357000000.0,2225000000.0,1907000000.0,134.88293807377286
1448,MMC,2022-12-31,3465000000.0,10520000000.0,3050000000.0,121.15813696860407
1449,MMC,2021-12-31,3516000000.0,11009000000.0,3143000000.0,181.09054337253295
1450,MMC,2020-12-31,3382000000.0,9104000000.0,2016000000.0,132.07492463530892
1451,MMC,2019-12-31,2361000000.0,7793000000.0,1742000000.0,114.9016727633758
1452,MMC,2018-12-31,2428000000.0,7511000000.0,1650000000.0,82.6030579053299
1453,MLM,2022-12-31,991200000.0,7170500000.0,866800000.0,59.41348784836522
1454,MLM,2021-12-31,1137700000.0,6535300000.0,702500000.0,107.50119366166841
1455,MLM,2020-12-31,1050100000.0,5890700000.0,721000000.0,117.53616131080614
1456,MLM,2019-12-31,966100000.0,5350800000.0,611900000.0,165.24711338005721
1457,MLM,2018-12-31,705100000.0,4946400000.0,470000000.0,80.6317094750973
1458,MAS,2022-12-31,840000000.0,-480000000.0,844000000.0,13.99433469738542
1459,MAS,2021-12-31,930000000.0,-179000000.0,410000000.0,135.99836169134548
1460,MAS,2020-12-31,953000000.0,195000000.0,1224000000.0,105.99371686628704
1461,MAS,2019-12-31,833000000.0,-235000000.0,935000000.0,130.22487780589174
1462,MAS,2018-12-31,1032000000.0,-111000000.0,734000000.0,55.479549746404324
1463,MA,2022-12-31,11195000000.0,6298000000.0,9917000000.0,136.03004909907855
1464,MA,2021-12-31,9463000000.0,7312000000.0,8678000000.0,258.0703319111967
1465,MA,2020-12-31,7224000000.0,6391000000.0,6484000000.0,278.4357104694825
1466,MA,2019-12-31,8183000000.0,5893000000.0,8119000000.0,258.3760499729631
1467,MA,2018-12-31,6223000000.0,5395000000.0,5853000000.0,133.56403930884656
1468,MTCH,2022-12-31,766361000.0,-359875000.0,361946000.0,39.41157495766244
1469,MTCH,2021-12-31,1908717000.0,-203769000.0,277723000.0,713.6508776355212
1470,MTCH,2020-12-31,1272911000.0,-1414417000.0,128561000.0,1073.8809736402811
1471,MTCH,2019-12-31,937939000.0,2928042000.0,431131000.0,0.0
1472,MTCH,2018-12-31,988128000.0,2843125000.0,626961000.0,0.0
1473,MKC,2022-11-30,651500000.0,4680500000.0,682000000.0,81.22757557474166
1474,MKC,2021-11-30,828300000.0,4411000000.0,755300000.0,105.06482803278931
1475,MKC,2020-11-30,1041300000.0,3926100000.0,747400000.0,136.78833238806521
1476,MKC,2019-11-30,946800000.0,3444200000.0,702700000.0,149.2645012834101
1477,MKC,2018-11-30,821200000.0,3170900000.0,933400000.0,139.51585161130527
1478,MCD,2022-12-31,7386700000.0,-6003400000.0,6177400000.0,72.40500518562418
1479,MCD,2021-12-31,9141500000.0,-4601000000.0,7545200000.0,148.75698199429647
1480,MCD,2020-12-31,6265200000.0,-7824900000.0,4730500000.0,106.71022793259209
1481,MCD,2019-12-31,8122100000.0,-8210300000.0,6025400000.0,142.179262329932
1482,MCD,2018-12-31,6966700000.0,-6258400000.0,5924300000.0,112.25619790837183
1483,MCK,2022-03-31,4434000000.0,-2272000000.0,1114000000.0,117.17784309059687
1484,MCK,2021-03-31,4542000000.0,-21000000.0,-4539000000.0,30.260102608352348
1485,MCK,2020-03-31,4374000000.0,5092000000.0,900000000.0,-37.475765175458235
1486,MCK,2019-03-31,4036000000.0,8094000000.0,34000000.0,-31.1762745303912
1487,MCK,2018-03-31,4345000000.0,9804000000.0,67000000.0,34.77871988470944
1488,MDT,2022-04-29,7346000000.0,52551000000.0,5039000000.0,40.16874332601537
1489,MDT,2021-04-30,6240000000.0,51428000000.0,3606000000.0,84.45127670661802
1490,MDT,2020-04-24,7234000000.0,50737000000.0,4789000000.0,45.97262903145028
1491,MDT,2019-04-26,7007000000.0,50091000000.0,4631000000.0,67.5033720775328
1492,MDT,2018-04-27,4684000000.0,50720000000.0,3104000000.0,90.07642166779051
1493,MRK,2022-12-31,52888000000.0,45991000000.0,14519000000.0,141.37644018048798
1494,MRK,2021-12-31,41769000000.0,38184000000.0,13049000000.0,59.19878455924088
1495,MRK,2020-12-31,10253000000.0,25317000000.0,7067000000.0,80.024183616717
1496,MRK,2019-12-31,13440000000.0,25907000000.0,9843000000.0,86.50645141272335
1497,MRK,2018-12-31,10922000000.0,26701000000.0,6220000000.0,78.40054262419089
1498,META,2022-12-31,50475000000.0,125713000000.0,23200000000.0,-31.803241527825005
1499,META,2021-12-31,57683000000.0,124879000000.0,39370000000.0,192.3511516731856
1500,META,2020-12-31,38747000000.0,128290000000.0,29146000000.0,160.9975157653354
1501,META,2019-12-31,36314000000.0,101054000000.0,18485000000.0,163.07357087926172
1502,META,2018-12-31,29274000000.0,84127000000.0,22112000000.0,139.8763014876759
1503,MET,2022-12-31,13204000000.0,27040000000.0,2539000000.0,71.37666065455737
1504,MET,2021-12-31,12596000000.0,67482000000.0,6554000000.0,74.768013539986
1505,MET,2020-12-31,11639000000.0,74558000000.0,5407000000.0,47.55666479906281
1506,MET,2019-12-31,13786000000.0,66144000000.0,5899000000.0,40.27252741777783
1507,MET,2018-12-31,11738000000.0,52741000000.0,5123000000.0,12.074487012216819
1508,MTD,2022-12-31,859067000.0,24793000.0,872502000.0,133.3177298553719
1509,MTD,2021-12-31,908825000.0,171421000.0,768985000.0,305.4878631498471
1510,MTD,2020-12-31,724699000.0,282675000.0,602739000.0,236.05991802553598
1511,MTD,2019-12-31,603450000.0,420780000.0,561109000.0,162.2760034384712
1512,MTD,2018-12-31,565005000.0,590063000.0,512611000.0,133.1423389257595
1513,MGM,2022-12-31,1756462000.0,4831529000.0,1473093000.0,4.9251942508629085
1514,MGM,2021-12-31,1373423000.0,6070645000.0,1254370000.0,64.94289001871195
1515,MGM,2020-12-31,-1493043000.0,6504726000.0,-1032724000.0,46.913499619814424
1516,MGM,2019-12-31,1810401000.0,7727265000.0,2049146000.0,63.42018381368787
1517,MGM,2018-12-31,1722539000.0,6512283000.0,466772000.0,6.338405800366792
1518,MCHP,2022-03-31,2842700000.0,5894800000.0,1285500000.0,119.65102171327482
1519,MCHP,2021-03-31,1916500000.0,5337100000.0,349400000.0,251.40897527793
1520,MU,2022-09-01,15181000000.0,49907000000.0,8687000000.0,77.85194309254587
1521,MU,2021-09-02,12468000000.0,43933000000.0,5861000000.0,346.93727209105305
1522,MU,2020-09-03,8306000000.0,38996000000.0,2687000000.0,177.330602576124
1523,MU,2019-08-29,13189000000.0,35881000000.0,6313000000.0,38.86515088468918
1524,MU,2018-08-30,17400000000.0,32294000000.0,14135000000.0,287.0308618490254
1525,MSFT,2022-06-30,89035000000.0,166542000000.0,72738000000.0,297.89750472400544
1526,MSFT,2021-06-30,76740000000.0,141988000000.0,61271000000.0,474.6080211790567
1527,MSFT,2020-06-30,60675000000.0,118304000000.0,44281000000.0,409.2696152322549
1528,MSFT,2019-06-30,52185000000.0,102330000000.0,39240000000.0,259.84809730270683
1529,MSFT,2018-06-30,43884000000.0,82718000000.0,16571000000.0,223.89564371569512
1530,MAA,2022-12-31,1058479000.0,6005089000.0,637436000.0,82.80785424463076
1531,MAA,2021-12-31,894967000.0,5965177000.0,533791000.0,176.5657437250971
1532,MAA,2020-12-31,823949000.0,5871633000.0,254962000.0,66.11114887253821
1533,MAA,2019-12-31,781420000.0,6068565000.0,353811000.0,111.49355509951184
1534,MAA,2018-12-31,734292000.0,6149840000.0,222899000.0,90.57507583126939
1535,MRNA,2022-12-31,4981000000.0,19123000000.0,8362000000.0,0.0
1536,MRNA,2021-12-31,13620000000.0,14145000000.0,12202000000.0,0.0
1537,MRNA,2020-12-31,2027000000.0,2561000000.0,-747000000.0,0.0
1538,MRNA,2019-12-31,-459000000.0,1175000000.0,-514000000.0,0.0
1539,MRNA,2018-12-31,-330865000.0,1530241000.0,-384700000.0,0.0
